bfo	0000002	continuant
bfo	0000003	occurrent
bfo	0000004	independent continuant
bfo	0000006	spatial region
bfo	0000015	process
bfo	0000016	disposition
bfo	0000017	realizable entity
bfo	0000019	quality
bfo	0000020	specifically dependent continuant
bfo	0000023	role
bfo	0000031	generically dependent continuant
bfo	0000034	function
bfo	0000040	material entity
bfo	0000050	part of
bfo	0000051	has part
bfo	0000054	realized in
bfo	0000055	realizes
bfo	0000060	obsolete preceded by
bfo	0000062	preceded by
bfo	0000063	precedes
bfo	0000066	occurs in
bfo	0000067	contains process
bfo	0000141	immaterial entity
ro	0000052	characteristic of
ro	0000053	has characteristic
ro	0000056	participates in
ro	0000057	has participant
ro	0000058	is concretized as
ro	0000059	concretizes
ro	0000079	function of
ro	0000080	quality of
ro	0000081	role of
ro	0000085	has function
ro	0000086	has quality
ro	0000087	has role
ro	0000091	has disposition
ro	0000092	disposition of
ro	0000300	obsolete in neural circuit with
ro	0000301	obsolete upstream in neural circuit with
ro	0000302	obsolete downstream in neural circuit with
ro	0001000	derives from
ro	0001001	derives into
ro	0001015	location of
ro	0001018	contained in
ro	0001019	contains
ro	0001020	is allergic trigger for
ro	0001021	is autoimmune trigger for
ro	0001022	has allergic trigger
ro	0001023	has autoimmune trigger
ro	0001025	located in
ro	0001900	temporal interpretation
ro	0001901	axiom holds for all times
ro	0001902	relation has no temporal argument
ro	0002000	2D boundary of
ro	0002001	aligned with
ro	0002002	has 2D boundary
ro	0002003	electrically_synapsed_to
ro	0002004	tracheates
ro	0002005	innervated_by
ro	0002006	has synaptic terminal of
ro	0002007	bounding layer of
ro	0002008	coincident with
ro	0002009	cell expresses
ro	0002010	regulates in other organism
ro	0002011	regulates transport of
ro	0002012	occurrent part of
ro	0002013	has regulatory component activity
ro	0002014	has negative regulatory component activity
ro	0002015	has positive regulatory component activity
ro	0002016	has necessary component activity
ro	0002017	has component activity
ro	0002018	has component process
ro	0002019	has ligand
ro	0002020	transports
ro	0002021	occurs across
ro	0002022	directly regulated by
ro	0002023	directly negatively regulated by
ro	0002024	directly positively regulated by
ro	0002025	has effector activity
ro	0002026	in register with
ro	0002029	has increased age-specific mortality rate
ro	0002081	before or simultaneous with
ro	0002082	simultaneous with
ro	0002083	before
ro	0002084	during which ends
ro	0002085	encompasses
ro	0002086	ends after
ro	0002087	immediately preceded by
ro	0002088	during which starts
ro	0002089	starts before
ro	0002090	immediately precedes
ro	0002091	starts during
ro	0002092	happens during
ro	0002093	ends during
ro	0002100	has soma location
ro	0002101	fasciculates with
ro	0002102	axon synapses in
ro	0002103	synapsed by
ro	0002104	has plasma membrane part
ro	0002105	synapsed_via_type_Ib_bouton_to
ro	0002106	synapsed_via_type_Is_bouton_to
ro	0002107	synapsed_via_type_II_bouton_to
ro	0002108	synapsed_by_via_type_II_bouton
ro	0002109	synapsed_by_via_type_Ib_bouton
ro	0002110	has postsynaptic terminal in
ro	0002111	releases neurotransmitter
ro	0002112	synapsed_by_via_type_Is_bouton
ro	0002113	has presynaptic terminal in
ro	0002114	synapsed_via_type_III_bouton_to
ro	0002115	synapsed_by_via_type_III_bouton
ro	0002120	synapsed to
ro	0002121	dendrite synapsed in
ro	0002130	has synaptic terminal in
ro	0002131	overlaps
ro	0002132	has fasciculating neuron projection
ro	0002134	innervates
ro	0002150	continuous with
ro	0002151	partially overlaps
ro	0002156	derived by descent from
ro	0002157	has derived by descendant
ro	0002158	shares ancestor with
ro	0002159	serially homologous to
ro	0002160	only in taxon
ro	0002161	never in taxon
ro	0002162	in taxon
ro	0002163	spatially disjoint from
ro	0002170	connected to
ro	0002171	mutually spatially disjoint with
ro	0002172	taxonomic class assertion
ro	0002173	ambiguous for taxon
ro	0002174	dubious for taxon
ro	0002175	present in taxon
ro	0002176	connects
ro	0002177	attached to part of
ro	0002178	supplies
ro	0002179	drains
ro	0002180	has component
ro	0002200	has phenotype
ro	0002201	phenotype of
ro	0002202	develops from
ro	0002203	develops into
ro	0002204	gene product of
ro	0002205	has gene product
ro	0002206	expressed in
ro	0002207	directly develops from
ro	0002208	parasitoid of
ro	0002209	has parasitoid
ro	0002210	directly develops into
ro	0002211	regulates
ro	0002212	negatively regulates
ro	0002213	positively regulates
ro	0002214	has prototype
ro	0002215	capable of
ro	0002216	capable of part of
ro	0002217	obsolete actively participates in
ro	0002218	obsolete has active participant
ro	0002219	surrounded by
ro	0002220	adjacent to
ro	0002221	surrounds
ro	0002222	temporally related to
ro	0002223	starts
ro	0002224	starts with
ro	0002225	develops from part of
ro	0002226	develops in
ro	0002227	obligate parasite of
ro	0002228	facultative parasite of
ro	0002229	ends
ro	0002230	ends with
ro	0002231	has start location
ro	0002232	has end location
ro	0002233	has input
ro	0002234	has output
ro	0002235	stem parasite of
ro	0002236	root parasite of
ro	0002237	hemiparasite of
ro	0002238	has component participant
ro	0002240	has exposure receptor
ro	0002241	has exposure stressor
ro	0002242	has exposure route
ro	0002243	has exposure transport path
ro	0002244	related via exposure to
ro	0002245	over-expressed in
ro	0002246	under-expressed in
ro	0002248	has active ingredient
ro	0002249	active ingredient in
ro	0002252	connecting branch of
ro	0002253	has connecting branch
ro	0002254	has developmental contribution from
ro	0002255	developmentally contributes to
ro	0002256	developmentally induced by
ro	0002257	developmentally induces
ro	0002258	developmentally preceded by
